Enemy A                      雑魚A            x42  0xB0E 0x43F5 0x4485 0xE9B2 0xE9EE 0x11BEE 0x243CC 0x2B711 0x32A95 0x3C3D6 0x447FB 0x454A7 0x5348E 0x5455D 0x55ED2 0x5C63C 0x60648 0x664AD 0x66822 0x6856E 0x6B8DA 0x6E39E 0x7C533 0x8ACF0 0x8C2E0 0x902AA 0x96C9D 0x9F258 0xA14A1 0xA30B4 0xAAD98 0xAC3A6 0xAD80E 0xB01D2 0xB28A0 0xB4473 0xC1FC3 0xC4EF0 0xCB4B9 0xD4531 0xE1F5E 0xE32A7
Ninja Yoki                   忍者妖鬼           x3   0x5DB6E 0x816E0 0x91E1A
Ninken                       忍犬             x3   0x1955D 0xBE49F 0xCBEA3
Spider                       蜘蛛             x3   0x4388 0x810E4 0xBC877
Sudama                       魑魅             x3   0x7B82 0x37D60 0xD53AF
Chijiko                      千々古            x2   0x77202 0x8BBB0
Enko                         焔虎             x2   0x8E155 0xDD6B9
Gaki Chief                   餓鬼大将           x2   0x2298A 0x81B05
Golden Shachi                金鯱             x2   0xAC351 0xBADD7
Guhin                        狗賓             x2   0x35908 0xDD6F3
Hattori Hanzo                服部半蔵           x2   0x202A7 0xD35E1
Himiko                       卑弥呼            x2   0xC1F31 0xCC0BD
Ho-oh                        鳳凰             x2   0x93BCA 0xCAAB1
Itsumade                     以津真天           x2   0x31F5A 0x69D5B
Jinnosuke the Shadow Slicer  影潜り仁之丞         x2   0x231FB 0x416E0
Kanai Hanbei                 金井半兵衛          x2   0xF9CA 0x179F7
Kappa                        河童             x2   0x2F535 0x46F7D
Karakasa Umbrella            唐傘お化け          x2   0x665C 0x6B55E
Karasu Tengu                 烏天狗            x2   0x3D18B 0xED0D6
Kodama                       木霊             x2   0xA12F3 0xE7421
Koroka                       古籠火            x2   0x6C300 0x8BC34
Lesser Umi-bozu              小海坊主           x2   0x1B70C 0xECDB4
Nozuchi                      野槌             x2   0x4A66A 0x8BE37
Nurikabe                     ぬりかべ           x2   0x14AE 0xABFA0
Oboroguruma                  朧車             x2   0x11DD8 0x5D627
Oh                           凰              x2   0x65136 0xE4337
One-eyed Oni                 一つ目鬼           x2   0x3B86E 0x75D9B
Ooka Genzaburo               大岡源三郎          x2   0x3DDDF 0x561A0
Rattan-Clad Ninja Oni        蔓鎧の忍鬼          x2   0x9178F 0xBC12A
Red Kappa                    赤河童            x2   0x27DBB 0x6314C
Revenant                     屍狂い            x2   0x36585 0x7DD0F
Robust Spear Samurai         豪槍の侍           x2   0x4E677 0xE3621
Sentry                       防人             x2   0xFCD2 0x43182
Shami-choro                  三味長老           x2   0x193E0 0xCBD68
Snowclops                    雪入道            x2   0x3063C 0xD4C73
Takeda Shingen               武田信玄           x2   0xA5D2 0x71ED1
Tatsumaro                    竜麻呂            x2   0x29A0F 0xAC3B0
Tora Gozen                   虎御前            x2   0x71E11 0xF0B85
Warrior                      武士             x2   0x3CDAD 0xACF61
Yamabiko                     やまびこ           x2   0x481B0 0xDEE24
Yamagata Masakage            山県昌景           x2   0x4B03B 0x92063
Yoki                         妖鬼             x2   0x2E05C 0xF3EB0
???                          ？？？            x1   0x1A244
Aggrieved Warrior            怨嗟の武人          x1   0x2E4BB
Akaname                      垢嘗             x1   0x56F1F
All-Seeing Mage              千眼の方術士         x1   0x18A22
Anayama Nobutada             穴山信君           x1   0xEFF45
Anazawa Morihide             穴澤盛秀           x1   0x9553
Araki Mataemon               荒木又右衛門         x1   0xEBDF
Baba Nobuharu                馬場信春           x1   0x75E4F
Berenguela the Whimsical     奇想のベレンゲラ       x1   0x3C00F
Bloodedge Demon              血刀修羅           x1   0x3921
Blood-Spurting Ogin          血煙お銀           x1   0x4CC1C
Cavern Ascetic               霊窟の修験者         x1   0xCED7D
Cerberus                     ケルベロス          x1   0x1ADFD
Demon of Envy                冒疾鬼            x1   0xBB028
Demon of Obsession           執心鬼            x1   0x7C995
Demon of Pride               傲岸鬼            x1   0xC5F3E
Demon Slayer                 鬼斬りの武者         x1   0x8A628
Denrinbo Raikei              伝林坊頼慶          x1   0xED856
Enenra                       煙々羅            x1   0x774DF
Enki                         猿鬼             x1   0x1AA93
Fabricated Warrior           錬造武者           x1   0x30EDD
Flying Bolt                  一反木綿           x1   0xA1E6C
Fuma Kotaro                  風魔小太郎          x1   0xC9D7F
Galestorm Oni-bi             鬼火（風）          x1   0x3D384
Gamatsuki                    蝦蟇憑き           x1   0xD1F46
Giant Toad                   大蝦蟇            x1   0x33773
Gozuki                       牛頭鬼            x1   0xA263C
Great Tengu                  大天狗            x1   0x41DB6
Green Shadow's Blade         緑影の剣鬼          x1   0xC46FF
Grudge Spirit                幽鬼             x1   0x77FDE
Hijikata Toshizo             土方歳三           x1   0x367F5
Hino-enma                    飛縁魔            x1   0x147F1
Ho                           鳳              x1   0x18D7E
Honda Tadakatsu              本多忠勝           x1   0xF0361
Ibaraki Doji                 茨木童子           x1   0xDA5FE
Ichimokuren                  一目連            x1   0x6DE91
Ii Naotora                   井伊直虎           x1   0xED0AE
Infernal Oni-bi              鬼火（火）          x1   0xED8E5
Iron-Fisted Rogue            剛拳の外法師         x1   0xBCB9B
Ishikawa Goemon              石川五右衛門         x1   0x519EE
Ito Ittosai                  伊東一刀斎          x1   0x7D28D
Jakotsu-baba                 蛇骨婆            x1   0xE7450
Joro-gumo                    女郎蜘蛛           x1   0x17AD0
Kajiwara Kagetoki            梶原景時           x1   0xB0DAA
Kamaitachi                   鎌鼬             x1   0xC76B4
Kasha                        火車             x1   0xCA888
Kawara Jurobei               河原十郎兵衛         x1   0x930FE
Konaki-Jiji                  子泣き爺           x1   0xEE98E
Kondo Isami                  近藤勇            x1   0x1F6E5
Kosaka Masanobu              高坂昌信           x1   0x431DA
Kumagai Naoyoshi             熊谷直義           x1   0x76A6F
Kurama Tengu                 鞍馬天狗           x1   0x3E333
Kusanagi                     草薙             x1   0xA0477
Kusumoto Ine                 楠本イネ           x1   0xB5AF6
Kyokotsu                     狂骨             x1   0x83085
Maeda Mitsutaka              前田光高           x1   0xFD3A
Maelstrom Oni-bi             鬼火（水）          x1   0xA2ACB
Magatsu Warrior              禍ツ武者           x1   0x6CAA5
Maria                        マリア            x1   0x10948
Marubashi Chuya              丸橋忠弥           x1   0x5D299
Matsudaira Nobutsuna         松平信綱           x1   0xB9D8E
Matsunaga Hisahide           松永久秀           x1   0xE70F9
Mermaid                      人魚             x1   0xC18A9
Mezuki                       馬頭鬼            x1   0x782F6
Minamoto no Yoritomo         源頼朝            x1   0x3EE6
Mori Gentatsu                毛利玄達           x1   0x98E97
Mysterious Ninja             謎の忍            x1   0xCB875
Mysterious Samurai           謎のサムライ         x1   0x1AB11
Nagakura Shinpachi           永倉新八           x1   0x96029
Naito Masatoyo               内藤昌豊           x1   0x7A8F3
Nakane Masamori              中根正盛           x1   0xBB2B0
Nakane Masateru              中根正照           x1   0x59A2
Narikama Tanuki              成釜狸            x1   0x5569F
Nasu no Yoichi               那須与一           x1   0x39B5F
Nekomata                     猫又             x1   0xEDFE5
Nuppeppo                     ぬっぺふほふ         x1   0xDCB98
Nure-onna                    濡れ女            x1   0xD5AE8
Nuribotoke                   塗仏             x1   0x5FEA7
Okita Soji                   沖田総司           x1   0xD9195
Onmoraki                     陰摩羅鬼           x1   0xC327F
Onryoki                      怨霊鬼            x1   0x40A3B
Otazu no Kata                お田鶴の方          x1   0x206C8
Otoroshi                     おとろし           x1   0x5AAF9
Raiju                        雷獣             x1   0x5A056
Red-clothed Maiden           赤い衣の女性         x1   0xB95D9
Rodrigo                      ロドリゴ           x1   0x8019
Ryomen Sukuna                両面宿儺           x1   0x6E1BC
Saigo Takamori               西郷隆盛           x1   0x206B3
Saito Fuku                   斎藤福            x1   0xA3F52
Saito Hajime                 斎藤一            x1   0xB6202
Sakai Tadatsugu              酒井忠次           x1   0xD9E64
Sakakibara Yasumasa          榊原康政           x1   0x6F210
Sawamura Yasusuke            沢村保祐           x1   0xA797A
Shinran                      親鸞             x1   0xC36C2
Shin-Roku                    神鹿             x1   0x74C7F
Shinsengumi Member Hattori Takeo 新選組・服部武雄       x1   0x3AA61
Shishido Kagetoshi           宍戸景俊           x1   0xEC041
Shizuka Gozen                静御前            x1   0x19CD7
Sugitani Zenjubo             杉谷善住坊          x1   0x4E7C0
Sunakake-baba                砂かけ婆           x1   0xAA34F
Taigen Sessai                太原雪斎           x1   0x30852
Takahashi Deishu             高橋泥舟           x1   0xE80BD
Takashima Shuhan             高島秋帆           x1   0x801A9
Takasugi Shinsaku            高杉晋作           x1   0xBE2C7
Tatarimokke                  たたりもっけ         x1   0x59534
Tengen Kujaku                天眼孔雀           x1   0xCA622
Tesso                        鉄鼠             x1   0x17C7B
Thomas Glover                トーマス・グラバー      x1   0xC9CB2
Thunderstorm Oni-bi          鬼火（雷）          x1   0xCEF83
Todo Heisuke                 藤堂平助           x1   0x94465
Tokugawa Ieyasu              徳川家康           x1   0x8707C
Tokugawa Kunimatsu           徳川国松           x1   0xF1A7F
Tokugawa Mitsukuni           徳川光圀           x1   0x28C12
Tokugawa Yoshinobu           徳川慶喜           x1   0x41A50
Tomoe Gozen                  巴御前            x1   0x8F3DB
Tsurara-onna                 つらら女           x1   0x7F476
Ubume                        姑獲鳥            x1   0x68CA6
Usui Sadamitsu               碓井貞光           x1   0x46364
Waira                        わいら            x1   0x1C4B5
Wheelmonk                    輪入道            x1   0x705DD
Wild Dog                     野犬             x1   0xE1BBF
Yagyu Jubei                  柳生十兵衛          x1   0x64B4D
Yagyu Munenori               柳生宗矩           x1   0xBD9D5
Yamada Shinryuken            山田真龍軒          x1   0x95C9D
Yamainu                      山狗             x1   0x643F5
Yamanba                      山姥             x1   0xD2B55
Yasha                        夜叉             x1   0x88F10
Yui Shosetsu                 由井正雪           x1   0x68AF1
